datetime,reaTZon_y,reaTSetHea_y,reaTSetCoo_y,oveHeaPumY_u,PriceElectricPowerHighlyDynamic,weaSta_reaWeaHDirNor_y,weaSta_reaWeaTDryBul_y,cost_tot,tdist_tot
2020-01-17 00:00:00,294.4643919860063,294.15,297.15,0.6283099681151593,0.2486,0.0,274.65,0.00481815174150432,0.0
2020-01-17 00:01:00,294.4665846424946,294.15,297.15,0.999999713895,0.2486,0.0,274.65221478395057,0.00481815174150432,0.0
2020-01-17 00:02:00,294.46877388191456,294.15,297.15,0.999999713895,0.2486,0.0,274.6544145679012,0.00481815174150432,0.0
2020-01-17 00:03:00,294.47098951389347,294.15,297.15,0.999999713895,0.2486,0.0,274.65659916666664,0.00481815174150432,0.0
2020-01-17 00:04:00,294.47325411846896,294.15,297.15,0.999999713895,0.2486,0.0,274.6587683950617,0.00481815174150432,0.0
2020-01-17 00:05:00,294.47558329514254,294.15,297.15,0.999999713895,0.2486,0.0,274.6609220679012,0.00481815174150432,0.0
2020-01-17 00:06:00,294.477987869137,294.15,297.15,0.999999713895,0.2486,0.0,274.66306,0.00481815174150432,0.0
2020-01-17 00:07:00,294.4804754131728,294.15,297.15,0.999999713895,0.2486,0.0,274.6651820061728,0.00481815174150432,0.0
2020-01-17 00:08:00,294.4830511786199,294.15,297.15,0.999999713895,0.2486,0.0,274.66728790123454,0.00481815174150432,0.0
2020-01-17 00:09:00,294.485718699603,294.15,297.15,0.999999713895,0.2486,0.0,274.6693775,0.00481815174150432,0.0
2020-01-17 00:10:00,294.48848016891554,294.15,297.15,0.999999713895,0.2486,0.0,274.67145061728394,0.00481815174150432,0.0
2020-01-17 00:11:00,294.49133667829994,294.15,297.15,0.999999713895,0.2486,0.0,274.6735070679012,0.00481815174150432,0.0
2020-01-17 00:12:00,294.494288481899,294.15,297.15,0.999999713895,0.2486,0.0,274.67554666666666,0.00481815174150432,0.0
2020-01-17 00:13:00,294.49733516236574,294.15,297.15,0.999999713895,0.2486,0.0,274.67756922839504,0.00481815174150432,0.0
2020-01-17 00:14:00,294.50047577062304,294.15,297.15,0.999999713895,0.2486,0.0,274.6795745679012,0.00481815174150432,0.0
2020-01-17 00:15:00,294.50370894085563,294.15,297.15,0.999999713895,0.2486,0.0,274.6815625,0.00481815174150432,0.0
2020-01-17 00:16:00,294.5070329797904,294.15,297.15,0.999999713895,0.2486,0.0,274.68353283950614,0.00481815174150432,0.0
2020-01-17 00:17:00,294.5104459526844,294.15,297.15,0.999999713895,0.2486,0.0,274.68548540123453,0.00481815174150432,0.0
